Is movie or series,ID,Name,Genre,Length,Rating,Episode name,Season,Episode number,Release year,Budget
M,Star_wars_IV,Star wars: A New Hope,Science Fiction,121,4,Star wars: A New Hope,0,0,1977,11000000
M,Star_wars_V,Star wars:The Empire Strikes back,Science Fiction,124,4,Star wars:The Empire Strikes back,0,0,1980,18000000
M,Star_wars_VI,Star wars: Return of the Jedi,Science Fiction,132,4,Star wars: Return of the Jedi,0,0,1983,32500000
M,Star_wars_I,Star wars:The Phantom Menace,Science Fiction,133,4,Star wars:The Phantom Menace,0,0,1999,115000000
M,Star_wars_II,Star wars: Attack of the Clones,Science Fiction,142,3,Star wars: Attack of the Clones,0,0,2002,120000000
M,Star_wars_III,Star wars: Revenge of the Sith,Science Fiction,140,5,Star wars: Revenge of the Sith,0,0,2005,113000000
M,Kumo_no_muko,Kumo no Muko,Anime,90,4,Kumo no Muko,0,0,2006,7000000
S,Sherlock_1,Sherlock,Crime,85,4,A study in Pink,1,1,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,The Blind Banker,1,2,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,The Great Game,1,3,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,A Scandal in Belgravia,2,1,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,4,The Hounds of Baskerville,2,2,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,5,The Reichenback Fall,2,3,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,Many Happy Returns,3,1,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,The Empty Hearse,3,2,2010,100000000
S,Sherlock_1,Sherlock,Crime,85,3,His Last Vow,3,3,2010,100000000
